Rank,Title,Year,Rating,Actors,Number of User Ratings
235,The Defiant Ones,2017,8.4,"Dr. Dre, Bono",14292
236,X-Men,1992,8.4,"Cedric Smith, Cal Dodd",41985
237,Mr Inbetween,2018,8.4,"Scott Ryan, Chika Yasumura",15941
238,Garth Marenghi's Darkplace,2004,8.4,"Richard Ayoade, Matt Berry",18037
239,Mare of Easttown,2021,8.4,"Kate Winslet, Julianne Nicholson",143360
240,Avrupa Yakasi,2004,8.4,"Gülse Birsel, Levent Üzümcü",18392
241,Southland,2009,8.4,"Michael Cudlitz, Shawn Hatosy",26247
242,Queer Eye,2018,8.4,"Antoni Porowski, Tan France",18489
243,Boku dake ga inai machi,2016,8.4,"Ben Diskin, Tao Tsuchiya",43284
244,Ozark,2017,8.4,"Jason Bateman, Laura Linney",287165
245,I Love Lucy,1951,8.4,"Lucille Ball, Desi Arnaz",26075
246,Rocket Boys,2022,8.4,"Jim Sarbh, Ishwak Singh",10782
247,"Love, Death & Robots",2019,8.4,"Fred Tatasciore, Scott Whyte",143445
248,Clannad: After Story,2008,8.4,"Yûichi Nakamura, David Matranga",10875
249,Harley Quinn,2019,8.4,"Kaley Cuoco, Lake Bell",23620
250,Foyle's War,2002,8.4,"Michael Kitchen, Honeysuckle Weeks",15024
