Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
147,The Treasure of the Sierra Madre,1948,8.1,John Huston,"Humphrey Bogart, Walter Huston",123318
148,Rashomon,1950,8.1,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",165780
149,The Great Escape,1963,8.1,John Sturges,"Steve McQueen, James Garner",241082
150,Shutter Island,2010,8.1,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",1261057
151,Jurassic Park,1993,8.1,Steven Spielberg,"Sam Neill, Laura Dern",947717
152,Kill Bill: Vol. 1,2003,8.1,Quentin Tarantino,"Uma Thurman, David Carradine",1085966
153,No Country for Old Men,2007,8.1,Ethan Coen,"Tommy Lee Jones, Javier Bardem",943564
154,The Elephant Man,1980,8.1,David Lynch,"Anthony Hopkins, John Hurt",237282
155,Finding Nemo,2003,8.1,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",1018910
156,Raging Bull,1980,8.1,Martin Scorsese,"Robert De Niro, Cathy Moriarty",346678
157,Chinatown,1974,8.1,Roman Polanski,"Jack Nicholson, Faye Dunaway",320228
158,Gone with the Wind,1939,8.1,Victor Fleming,"Clark Gable, Vivien Leigh",310676
159,V for Vendetta,2005,8.1,James McTeigue,"Hugo Weaving, Natalie Portman",1100445
160,Inside Out,2015,8.1,Pete Docter,"Amy Poehler, Bill Hader",689450
161,The Thing,1982,8.1,John Carpenter,"Kurt Russell, Wilford Brimley",410309
162,"Lock, Stock and Two Smoking Barrels",1998,8.1,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",571902
163,Dial M for Murder,1954,8.1,Alfred Hitchcock,"Ray Milland, Grace Kelly",172737
164,The Secret in Their Eyes,2009,8.1,Juan José Campanella,"Ricardo Darín, Soledad Villamil",206729
165,The Bridge on the River Kwai,1957,8.1,David Lean,"William Holden, Alec Guinness",217541
166,Howl's Moving Castle,2004,8.1,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",380455
167,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh,"Frances McDormand, Woody Harrelson",491166
168,Trainspotting,1996,8.1,Danny Boyle,"Ewan McGregor, Ewen Bremner",674848
169,Gran Torino,2008,8.1,Clint Eastwood,"Clint Eastwood, Bee Vang",762729
170,Warrior,2011,8.1,Gavin O'Connor,"Tom Hardy, Nick Nolte",464150
171,Fargo,1996,8.1,Joel Coen,"William H. Macy, Frances McDormand",664910
172,My Neighbour Totoro,1988,8.1,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",328305
173,Prisoners,2013,8.1,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal",681982
174,Million Dollar Baby,2004,8.1,Clint Eastwood,"Hilary Swank, Clint Eastwood",676275
175,The Gold Rush,1925,8.1,Charles Chaplin,"Charles Chaplin, Mack Swain",109897
176,Blade Runner,1982,8.1,Ridley Scott,"Harrison Ford, Rutger Hauer",750389
177,Catch Me If You Can,2002,8.1,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks",941360
178,On the Waterfront,1954,8.1,Elia Kazan,"Marlon Brando, Karl Malden",152995
179,The Third Man,1949,8.1,Carol Reed,"Orson Welles, Joseph Cotten",169674
180,Children of Heaven,1997,8.1,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian",73653
181,Ben-Hur,1959,8.1,William Wyler,"Charlton Heston, Jack Hawkins",236020
182,The General,1926,8.1,Clyde Bruckman,"Buster Keaton, Marion Mack",90072
183,12 Years a Slave,2013,8.1,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",687006
184,Wild Strawberries,1957,8.1,Ingmar Bergman,"Victor Sjöström, Bibi Andersson",105851
185,Gone Girl,2014,8.1,David Fincher,"Ben Affleck, Rosamund Pike",953482
186,Before Sunrise,1995,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy",299254
187,The Deer Hunter,1978,8.1,Michael Cimino,"Robert De Niro, Christopher Walken",334090
188,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,David Yates,"Daniel Radcliffe, Emma Watson",847950
189,In the Name of the Father,1993,8.1,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite",171934
190,The Grand Budapest Hotel,2014,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham",782526
191,Mr. Smith Goes to Washington,1939,8.1,Frank Capra,"James Stewart, Jean Arthur",114510
192,The Wages of Fear,1953,8.1,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",60205
