Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
111,The Sixth Sense,1999,8.2,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",970435
112,The Truman Show,1998,8.2,Peter Weir,"Jim Carrey, Ed Harris",1039492
113,Shutter Island,2010,8.2,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",1261057
114,Sherlock Jr.,1924,8.2,Buster Keaton,"Buster Keaton, Kathryn McGuire",48702
115,Gone with the Wind,1939,8.2,Victor Fleming,"Clark Gable, Vivien Leigh",310676
116,The Elephant Man,1980,8.2,David Lynch,"Anthony Hopkins, John Hurt",237282
117,Jurassic Park,1993,8.2,Steven Spielberg,"Sam Neill, Laura Dern",947717
118,Dial M for Murder,1954,8.2,Alfred Hitchcock,"Ray Milland, Grace Kelly",172737
119,Raging Bull,1980,8.2,Martin Scorsese,"Robert De Niro, Cathy Moriarty",346678
120,Chinatown,1974,8.2,Roman Polanski,"Jack Nicholson, Faye Dunaway",320228
121,Kill Bill: Vol. 1,2003,8.2,Quentin Tarantino,"Uma Thurman, David Carradine",1085966
122,V for Vendetta,2005,8.1,James McTeigue,"Hugo Weaving, Natalie Portman",1100445
123,No Country for Old Men,2007,8.1,Ethan Coen,"Tommy Lee Jones, Javier Bardem",943564
124,Finding Nemo,2003,8.1,Andrew Stanton,"Albert Brooks, Ellen DeGeneres",1018910
125,The Bridge on the River Kwai,1957,8.1,David Lean,"William Holden, Alec Guinness",217541
126,The Thing,1982,8.1,John Carpenter,"Kurt Russell, Wilford Brimley",410309
127,"Lock, Stock and Two Smoking Barrels",1998,8.1,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",571902
128,Inside Out,2015,8.1,Pete Docter,"Amy Poehler, Bill Hader",689450
129,To Be or Not to Be,1942,8.1,Ernst Lubitsch,"Carole Lombard, Jack Benny",36144
130,The Gold Rush,1925,8.1,Charles Chaplin,"Charles Chaplin, Mack Swain",109897
131,Warrior,2011,8.1,Gavin O'Connor,"Tom Hardy, Nick Nolte",464150
132,Trainspotting,1996,8.1,Danny Boyle,"Ewan McGregor, Ewen Bremner",674848
133,"Three Billboards Outside Ebbing, Missouri",2017,8.1,Martin McDonagh,"Frances McDormand, Woody Harrelson",491166
